id,pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,weighing_approach,item_nsu_hetero_type,unit,weight,raw_canonical,published,corrected_unit,magnitude_corrected,decades_moved,snap_rule,snap_referee,snap_block,disputed,step1_flagged,unusable,any_uncertainty,cleaning_notes
86,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",large_size,1,1.14,1140.0,1140.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
81,AKLAN,BANGA,cabbage,pieces or units,"Size-based (small, medium, large)",large_size,1,1.08,1080.0,1080.0,g,False,0.0,log10 median,cell,0,False,False,False,False,
95,AKLAN,BANGA,camote tops,bundle,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,1,1.09,1090.0,1090.0,g,False,0.0,log10 median,prov_hetero,1,True,False,False,True,
88,AKLAN,BANGA,camote tops,bundle,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,1,1.18,1180.0,1180.0,g,False,0.0,log10 median,prov_hetero,1,True,False,False,True,
93,AKLAN,BANGA,camote tops,bundle,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,1,1.185,1185.0,1185.0,g,False,0.0,log10 median,prov_hetero,1,True,False,False,True,
91,AKLAN,BANGA,camote tops,bundle,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,2,0.79,0.79,790.0,g,True,3.0,log10 median,prov_hetero,1,True,True,False,True,
89,AKLAN,BANGA,camote tops,bundle,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,1,1.08,1080.0,1080.0,g,False,0.0,log10 median,prov_hetero,1,True,False,False,True,
87,AKLAN,BANGA,camote tops,bundle,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,1,1.22,1220.0,1220.0,g,False,0.0,log10 median,prov_hetero,1,True,False,False,True,
94,AKLAN,BANGA,camote tops,bundle,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,1,1.01,1010.0,1010.0,g,False,0.0,log10 median,prov_hetero,1,True,True,False,True,
90,AKLAN,BANGA,camote tops,bundle,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,2,0.335,0.335,335.0,g,True,3.0,log10 median,prov_hetero,0,False,False,False,False,
92,AKLAN,BANGA,camote tops,bundle,"Conventional NSU (eg. ganta, salmon, salop)",conventional_nsu,1,1.04,1040.0,1040.0,g,False,0.0,log10 median,prov_hetero,1,True,True,False,True,
106,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",small_size,2,0.085,0.085,85.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
102,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",small_size,2,0.105,0.105,105.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
109,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",small_size,2,0.12,0.12,120.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
107,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.145,0.145,145.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
110,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.205,0.205,205.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
103,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.22,0.22,220.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
108,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",large_size,2,0.2,0.2,200.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
98,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",small_size,2,0.085,0.085,85.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
97,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",small_size,2,0.18,0.18,180.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
111,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",small_size,2,0.125,0.125,125.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
96,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.91,0.91,91.0,g,True,2.0,log10 median,cell,0,False,False,False,False,
99,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.13,0.13,130.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
100,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",small_size,2,0.135,0.135,135.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
104,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",small_size,2,0.155,0.155,155.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
105,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.275,0.275,275.0,g,True,3.0,log10 median,cell,0,False,True,False,True,
101,AKLAN,BANGA,carrot,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.205,0.205,205.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
116,AKLAN,BANGA,chicken,pieces or units,"Size-based (small, medium, large)",small_size,2,0.215,0.215,215.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
112,AKLAN,BANGA,chicken,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.685,0.685,685.0,g,True,3.0,log10 median,cell,1,True,True,False,True,
113,AKLAN,BANGA,chicken,pieces or units,"Size-based (small, medium, large)",medium_size,2,0.56,0.56,560.0,g,True,3.0,log10 median,cell,0,False,True,False,True,
117,AKLAN,BANGA,chicken,pieces or units,"Size-based (small, medium, large)",small_size,2,0.16,0.16,160.0,g,True,3.0,log10 median,cell,0,False,False,False,False,
