pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,pull_price,item_nsu_hetero_type,corrected_weight,p_real,gpp,n_pairs,n_price,n_mun,gpp_loo,w_pred,ratio
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,pieces or units,9,municipality_median,32,9,3.555555555555555,35,3,5,3.75,33.75,1.0546875
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,putos,65,municipality_median,300,65,4.615384615384615,59,8,9,4.615384615384615,300,1
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,putos,65,municipality_median,300,65,4.615384615384615,59,8,9,4.615384615384615,300,1
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,putos,65,municipality_median,320,65,4.923076923076923,59,8,9,4.615384615384615,300,.9375
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,putos,65,municipality_median,300,65,4.615384615384615,59,8,9,4.615384615384615,300,1
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,putos,65,municipality_median,300,65,4.615384615384615,59,8,9,4.615384615384615,300,1
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,putos,65,municipality_median,270,65,4.153846153846154,59,8,9,4.615384615384615,300,1.111111111111111
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,putos,65,municipality_median,250,65,3.846153846153846,59,8,9,4.615384615384615,300,1.2
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,putos,65,municipality_median,330,65,5.076923076923077,59,8,9,4.615384615384615,300,.9090909090909091
"crackers, cookies, buiscuits, chips/curls",AKLAN,MAKATO,putos,65,municipality_median,330,65,5.076923076923077,59,8,9,4.615384615384615,300,.9090909090909091
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,pieces or units,11,municipality_median,65,11,5.909090909090909,11,3,4,5.784502998586163,63.62953298444779,.9789158920684276
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,pieces or units,11,municipality_median,40,11.09285736083984,3.605923947170595,11,3,4,5.784502998586163,64.16666666666667,1.604166666666667
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,pieces or units,11,municipality_median,65,11,5.909090909090909,11,3,4,5.784502998586163,63.62953298444779,.9789158920684276
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,pieces or units,11,municipality_median,25,11,2.272727272727273,11,3,4,5.784502998586163,63.62953298444779,2.545181319377912
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,pieces or units,11,municipality_median,65,11,5.909090909090909,11,3,4,5.784502998586163,63.62953298444779,.9789158920684276
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,putos,100,municipality_median,200,100,2,40,10,7,2.946540880503145,294.6540880503145,1.473270440251572
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,putos,100,municipality_median,500,100,5,40,10,7,2.946540880503145,294.6540880503145,.589308176100629
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,putos,100,municipality_median,325,100.8441578258168,3.222794527783719,40,10,7,2.946540880503145,297.1414335936802,.9142813341344007
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,putos,100,municipality_median,290,100,2.9,40,10,7,2.946540880503145,294.6540880503145,1.016048579483843
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,putos,100,municipality_median,350,100,3.5,40,10,7,2.946540880503145,294.6540880503145,.8418688230008986
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,putos,100,municipality_median,200,100,2,40,10,7,2.946540880503145,294.6540880503145,1.473270440251572
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,putos,100,municipality_median,500,100,5,40,10,7,2.946540880503145,294.6540880503145,.589308176100629
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MAKATO,putos,100,municipality_median,200,100,2,40,10,7,2.946540880503145,294.6540880503145,1.473270440251572
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,pieces or units,8,province_median,30,8,3.75,35,3,5,3.703703703703704,29.62962962962963,.9876543209876544
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,pieces or units,8,province_median,30,8,3.75,35,3,5,3.703703703703704,29.62962962962963,.9876543209876544
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,pieces or units,8,province_median,32,8,4,35,3,5,3.703703703703704,29.62962962962963,.9259259259259259
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,pieces or units,8,province_median,25,8,3.125,35,3,5,3.703703703703704,29.62962962962963,1.185185185185185
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,pieces or units,8,province_median,25,8,3.125,35,3,5,3.703703703703704,29.62962962962963,1.185185185185185
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,pieces or units,8,province_median,25,8,3.125,35,3,5,3.703703703703704,29.62962962962963,1.185185185185185
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,putos,72.5,municipality_median,360,72.5,4.96551724137931,59,8,9,4.615384615384615,334.6153846153846,.9294871794871794
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,putos,72.5,municipality_median,600,72.5,8.275862068965518,59,8,9,4.615384615384615,334.6153846153846,.5576923076923076
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,putos,72.5,municipality_median,320,72.5,4.413793103448276,59,8,9,4.615384615384615,334.6153846153846,1.045673076923077
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,putos,72.5,municipality_median,180,72.5,2.482758620689655,59,8,9,4.615384615384615,334.6153846153846,1.858974358974359
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,putos,72.5,municipality_median,330,72.5,4.551724137931035,59,8,9,4.615384615384615,334.6153846153846,1.013986013986014
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,putos,72.5,municipality_median,250,72.5,3.448275862068965,59,8,9,4.615384615384615,334.6153846153846,1.338461538461538
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,putos,72.5,municipality_median,410,72.5,5.655172413793103,59,8,9,4.615384615384615,334.6153846153846,.8161350844277673
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,79.5,mp25_price,275,79.5,3.459119496855346,40,10,7,2.720212041340042,216.2568572865333,.7863885719510304
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,120,mp50_price,360,120,3,40,10,7,2.720212041340042,326.4254449608051,.9067373471133474
