pull_province,pull_item,pull_municipal_city,harmonized_nsu_unit,point_id,p_g,n_merged,has_mp25,has_mp50,has_mp75,has_mun_med,has_prov_med,has_unique,d_uniq_weighed,branch,d_point_unconvertible,n_points,n_points_conv
AKLAN,cabbage,MAKATO,pieces or units,1,52.5,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,camote tops,MAKATO,bundle,1,20,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,carrot,MAKATO,pieces or units,1,50,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,chicken,MAKATO,whole (chicken),1,196.25,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,chicken,MAKATO,whole (chicken),2,275,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,"crackers, cookies, buiscuits, chips/curls",MAKATO,pieces or units,1,39,1,0,0,0,1,0,0,0,2,0,1,1
AKLAN,"crackers, cookies, buiscuits, chips/curls",MAKATO,putos,1,70,1,1,0,0,0,0,0,0,2,0,2,2
AKLAN,"crackers, cookies, buiscuits, chips/curls",MAKATO,putos,2,130,2,0,1,1,0,0,0,0,2,0,2,2
AKLAN,fresh fish,MAKATO,pieces or units,1,100,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",MAKATO,pieces or units,1,40,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",MAKATO,small cup,1,30,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,"liquor (e.g, whisky, coconut wine)",MAKATO,lipid/lapad,1,80,1,0,0,0,0,1,0,0,3,0,1,1
AKLAN,"liquor (e.g, whisky, coconut wine)",MAKATO,long-neck,1,130,1,1,0,0,0,0,0,0,3,0,3,3
AKLAN,"liquor (e.g, whisky, coconut wine)",MAKATO,long-neck,2,190,1,0,1,0,0,0,0,0,3,0,3,3
AKLAN,"liquor (e.g, whisky, coconut wine)",MAKATO,long-neck,3,397.5,1,0,0,1,0,0,0,0,3,0,3,3
AKLAN,loaf bread,MAKATO,large packs,1,112.5,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,loaf bread,MAKATO,large packs,2,155,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,loaf bread,MAKATO,medium packs,1,58.75,2,1,1,0,0,0,0,0,3,0,2,2
AKLAN,loaf bread,MAKATO,medium packs,2,102.5,1,0,0,1,0,0,0,0,3,0,2,2
AKLAN,loaf bread,MAKATO,small packs,1,30,1,0,0,0,1,0,0,0,3,0,1,1
AKLAN,mango,MAKATO,pieces or units,1,30,1,0,0,0,0,0,1,0,3,1,2,1
AKLAN,mango,MAKATO,pieces or units,2,60,1,0,0,0,0,1,0,0,3,0,2,1
