pull_item,pull_province,pull_municipal_city,harmonized_nsu_unit,corrected_unit,o2_cf,o2_rows,o2_maxrung,o1_grams,o1_n,ratio,logr
carrot,AKLAN,MALAY,pieces or units,g,94.21875,19,0,170,22,.5542279411764706,-.2563115832220098
chicken,AKLAN,MALAY,whole (chicken),g,847.5,9,0,1040,8,.8149038461538461,-.0888936324236606
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,pieces or units,g,29.40226815145216,3,0,27.5,6,1.069173387325533,.0290481402439555
"crackers, cookies, buiscuits, chips/curls",AKLAN,MALAY,putos,g,346.7439899240219,14,0,330,7,1.050739363406127,.0214950023535096
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,MALAY,pieces or units,mL,23,2,0,105,4,.219047619047619,-.6594614630523451
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,MALAY,putos,mL,25,1,0,62.5,4,.4,-.3979400086720375
"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",AKLAN,MALAY,small cup,mL,26.66666666666667,8,0,100,3,.2666666666666667,-.5740312677277188
"liquor (e.g, whisky, coconut wine)",AKLAN,MALAY,lipid/lapad,mL,337.5,10,0,375,9,.9,-.0457574905606751
"liquor (e.g, whisky, coconut wine)",AKLAN,MALAY,long-neck,mL,321.4285714285714,4,0,750,9,.4285714285714286,-.3679767852945943
loaf bread,AKLAN,MALAY,large packs,g,403.7974683544304,13,0,580,4,.6962025316455697,-.1572644017961975
loaf bread,AKLAN,MALAY,medium packs,g,425,11,0,425,4,1,0
loaf bread,AKLAN,MALAY,small packs,g,240,9,0,300,3,.8,-.0969100130080564
mango,AKLAN,MALAY,pieces or units,g,86.08938547486034,4,0,230,15,.3743016759776536,-.4267782282790667
"prawns, lobster, shrimp",AKLAN,MALAY,tumpok,g,331.25,4,0,265,5,1.25,.0969100130080564
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,bilog,g,227.7114597038915,1,0,235,2,.9689849349101768,-.0136829749990178
"preserved or processed meat (tocino, tapa, longaniza, etc)",AKLAN,MALAY,putos,g,350.3007453669595,23,0,317.5,14,1.103309434226644,.0426973317788019
cabbage,AKLAN,MALINAO,pieces or units,g,545.8333333333334,13,0,655,9,.8333333333333334,-.0791812460476248
camote tops,AKLAN,MALINAO,2bond,g,375,2,0,375,4,1,0
camote tops,AKLAN,MALINAO,3bugkos,g,570,1,0,570,4,1,0
camote tops,AKLAN,MALINAO,bugkos,g,182.5,1,0,182.5,4,1,0
camote tops,AKLAN,MALINAO,bundle,g,835,119,0,835,4,1,0
carrot,AKLAN,MALINAO,pieces or units,g,116.3076923076923,22,0,180,9,.6461538461538462,-.1896640662449551
