province,pull_municipal_city,cons_name,harmonized_nsu_unit,n_raw_units,raw_units,points_pooled,points_naive
AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,3,bilog | binilog | piraso,1,1
AKLAN,MADALAG,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,3,binilog | pieces or units | piraso,1,1
AKLAN,MALAY,carrot,pieces or units,3,bilog | binilog | piraso,1,1
ANTIQUE,CULASI,loaf bread,large packs,3,dalagku nga putos | daragkul nga putos | large,1,1
ANTIQUE,PANDAN,carrot,pieces or units,3,bilog | binilog | piraso,1,1
ANTIQUE,PANDAN,loaf bread,large packs,3,dalagku nga putos | daragkul nga putos | malaking packs,1,1
ANTIQUE,PATNONGON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,3,gamay nga cup | gamay nga tasa | small cup (translate),1,1
CAPIZ,SIGMA,fresh fish,pack,3,per putos ung binibili na isda | putos | putos(per pack),1,1
ILOILO,ALIMODIAN,loaf bread,large packs,3,dalagku nga putos | daragkul nga putos | large,1,1
ILOILO,BAROTAC VIEJO,loaf bread,small packs,3,gagmay nga putos | small | small packs,1,1
ILOILO,BATAD,loaf bread,small packs,3,gagmay nga putos | small | small packs,1,1
ILOILO,SAN JOAQUIN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,3,bilog | binilog | pieces or units,1,1
AKLAN,ALTAVAS,cabbage,pieces or units,2,bilog | binilog,1,1
AKLAN,ALTAVAS,carrot,pieces or units,2,bilog | binilog,1,1
AKLAN,BATAN,carrot,pieces or units,2,bilog | binilog,1,1
AKLAN,BATAN,loaf bread,small packs,2,maisot nga putos | small,1,1
AKLAN,BURUANGA,"liquor (e.g, whisky, coconut wine)",lipid/lapad,2,lapad | lipid / lapad,1,1
AKLAN,IBAJAY,cabbage,pieces or units,2,bilog | binilog,1,1
AKLAN,IBAJAY,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,2,gamay nga cup | maisot nga tasa,1,1
AKLAN,IBAJAY,loaf bread,large packs,2,large | mabahoe nga putos,1,1
AKLAN,IBAJAY,loaf bread,medium packs,2,kasarangan nga putos | medium,1,1
AKLAN,IBAJAY,loaf bread,small packs,2,maisot nga putos | small,1,1
AKLAN,LIBACAO,carrot,pieces or units,2,bilog | binilog,1,1
