province,item_group,mdate,year_month,cpi,cpi_ma3,cpi_source
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",794,2026-03,140.625954847337,140.63041801977533,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",795,2026-04,133.928064633698,133.98372377217066,tier1_province_exact_group
AKLAN,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",796,2026-05,127.397151835477,,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",767,2023-12,136.364020176407,,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",768,2024-01,139.058764274578,136.08163171282632,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",769,2024-02,132.822110687494,135.56001877727033,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",770,2024-03,134.799181369739,137.93284918596234,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",771,2024-04,146.177255500654,141.372666224598,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",772,2024-05,143.141561803401,142.810862101982,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",773,2024-06,139.113769001891,137.80519025279602,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",774,2024-07,131.160239953096,137.96695627109133,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",775,2024-08,143.626859858287,138.8123184175863,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",776,2024-09,141.649855441376,142.49160563524902,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",777,2024-10,142.198101606084,142.534038597415,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",778,2024-11,143.754158744785,144.37867381006265,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",779,2024-12,147.183761079319,148.81724760052234,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",780,2025-01,155.513822977463,149.65995531000235,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",781,2025-02,146.282281873225,148.757524173603,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",782,2025-03,144.476467670121,144.98234798864465,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",783,2025-04,144.188294422588,143.21675676018333,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",784,2025-05,140.985508187841,141.51674514202264,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",785,2025-06,139.376432815639,138.82930275117766,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",786,2025-07,136.125967250053,137.90154003289032,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",787,2025-08,138.202220032979,137.51013577200365,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",788,2025-09,138.202220032979,138.50102176557033,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",789,2025-10,139.098625230753,138.86808501669364,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",790,2025-11,139.303409786349,138.53401080655865,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",791,2025-12,137.199997402574,142.480645875525,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",792,2026-01,150.938530437652,145.87746897179832,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",793,2026-02,149.493879075169,151.035787904629,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",794,2026-03,152.674954201066,147.68202530826167,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",795,2026-04,140.87724264855,146.56486102039034,tier1_province_exact_group
AKLAN,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",796,2026-05,146.142386211555,,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),767,2023-12,134.6,,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),768,2024-01,143.1,139.16666666666666,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),769,2024-02,139.8,141.1,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),770,2024-03,140.4,139.10000000000002,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),771,2024-04,137.1,137.76666666666668,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),772,2024-05,135.8,135.2,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),773,2024-06,132.7,133.13333333333333,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),774,2024-07,130.9,131.63333333333335,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),775,2024-08,131.3,132.4,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),776,2024-09,135.0,134.79999999999998,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),777,2024-10,138.1,137.5666666666667,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),778,2024-11,139.6,140.56666666666666,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),779,2024-12,144.0,143.0666666666667,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),780,2025-01,145.6,144.1,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),781,2025-02,142.7,143.7,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),782,2025-03,142.8,143.26666666666668,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),783,2025-04,144.3,144.1,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),784,2025-05,145.2,142.36666666666667,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),785,2025-06,137.6,140.36666666666665,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),786,2025-07,138.3,141.73333333333332,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),787,2025-08,149.3,146.46666666666667,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),788,2025-09,151.8,150.16666666666666,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),789,2025-10,149.4,153.00000000000003,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),790,2025-11,157.8,156.36666666666667,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),791,2025-12,161.9,160.20000000000002,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),792,2026-01,160.9,161.4,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),793,2026-02,161.4,163.26666666666668,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),794,2026-03,167.5,164.96666666666667,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),795,2026-04,166.0,168.66666666666666,tier1_province_exact_group
AKLAN,01.1.6 - Fruits and nuts (ND),796,2026-05,172.5,,tier1_province_exact_group
AKLAN,"01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",767,2023-12,151.767088080286,,tier1_province_exact_group
AKLAN,"01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",768,2024-01,148.467872292681,146.73419852850498,tier1_province_exact_group
AKLAN,"01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",769,2024-02,139.967635212548,141.82684302596167,tier1_province_exact_group
AKLAN,"01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",770,2024-03,137.045021572656,139.88975599640133,tier1_province_exact_group
AKLAN,"01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",771,2024-04,142.656611204,140.830853018841,tier1_province_exact_group
AKLAN,"01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",772,2024-05,142.790926279867,144.97560921803466,tier1_province_exact_group
AKLAN,"01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",773,2024-06,149.479290170237,147.21784213259198,tier1_province_exact_group
AKLAN,"01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",774,2024-07,149.383309947672,148.16488556823035,tier1_province_exact_group
AKLAN,"01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",775,2024-08,145.632056586782,145.44130761458067,tier1_province_exact_group
