hhid,pull_item,q_h,pull_nsu_unit,pull_province,pull_municipal_city,source,p_h,harmonized_nsu_unit,gap_sym,conv_route
H007928,loaf bread,1,dalagku nga putos,ILOILO,MAASIN,purchased,50,large packs,2,refused: A11 spelling gap
H007946,"liquor (e.g, whisky, coconut wine)",7,lapad,AKLAN,IBAJAY,purchased,70,lipid/lapad,2,refused: A11 spelling gap
H007946,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,IBAJAY,purchased,5,pieces or units,3.5,refused: A11 spelling gap
H008010,fresh fish,3,bilog,ILOILO,SAN ENRIQUE,purchased,40,pieces or units,,refused: unique price
H008028,"crackers, cookies, buiscuits, chips/curls",35,piraso,ANTIQUE,CULASI,purchased,8,pieces or units,7.777777777777778,refused: A11 spelling gap
H008038,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",1,small cup,ANTIQUE,SIBALOM,purchased,10,small cup,3.5,refused: A11 spelling gap
H008067,cabbage,2,packs,ILOILO,AJUY,purchased,20,pack,2.105263157894737,refused: A11 spelling gap
H008078,carrot,4,binilog,ILOILO,SAN JOAQUIN,purchased,20,pieces or units,2.166666666666667,refused: A11 spelling gap
H008159,loaf bread,1,gagmay nga putos,ILOILO,BAROTAC NUEVO,purchased,6,small packs,3.076923076923077,refused: A11 spelling gap
H008162,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",2,binilog,AKLAN,MALAY,purchased,10,pieces or units,4.2,refused: A11 spelling gap
H008170,"crackers, cookies, buiscuits, chips/curls",1,tupperware,ILOILO,BADIANGAN,purchased,400,tupperware,,refused: nothing anywhere
H008181,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,IBAJAY,purchased,7,pieces or units,3.5,refused: A11 spelling gap
H008188,fresh fish,1,cup,NEGROS OCCIDENTAL,CALATRAVA,purchased,50,cup,,refused: nothing anywhere
H008234,"preserved or processed meat (tocino, tapa, longaniza, etc)",3,piraso,AKLAN,MADALAG,purchased,10,pieces or units,2.668981481481482,refused: A11 spelling gap
H008234,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",5,piraso,AKLAN,MADALAG,purchased,12,pieces or units,2,refused: A11 spelling gap
H008237,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,gamay nga tasa,ANTIQUE,SEBASTE,purchased,13.33333333333333,small cup,2,refused: A11 spelling gap
H008242,loaf bread,2,small,CAPIZ,PANITAN,own_production,30,small packs,2.25,refused: A11 spelling gap
H008247,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",3,binilog,AKLAN,IBAJAY,purchased,16,pieces or units,3.5,refused: A11 spelling gap
