pull_province,pull_item,pull_municipal_city,harmonized_nsu_unit,p_g,has_mun_med,has_prov_med,has_unique,branch,n_points,n_points_conv
ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",SAN JOAQUIN,pack,475,0,0,1,3,2,1
ILOILO,"preserved or processed meat (tocino, tapa, longaniza, etc)",SAN JOAQUIN,pieces or units,175,0,0,1,3,2,1
ILOILO,cabbage,SAN MIGUEL,pieces or units,200,0,0,1,3,2,1
ILOILO,fresh fish,SAN MIGUEL,pieces or units,480,0,0,1,3,2,1
ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",SAN RAFAEL,cone,10,0,0,1,3,2,1
ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",SAN RAFAEL,putos,20,0,0,1,3,2,1
ILOILO,loaf bread,SAN RAFAEL,large packs,595,0,0,1,3,3,2
ILOILO,loaf bread,SANTA BARBARA,small packs,105,0,0,1,3,2,1
ILOILO,mango,SANTA BARBARA,pieces or units,50,0,0,1,3,2,1
ILOILO,camote,SARA,bilog,150,0,0,1,3,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",SARA,long-neck,130,0,0,1,3,2,1
ILOILO,"prawns, lobster, shrimp",SARA,tumpok,100,0,0,1,3,2,1
ILOILO,rice,SARA,gantang,390,0,0,1,1,2,1
ILOILO,"liquor (e.g, whisky, coconut wine)",TIGBAUAN,long-neck,300,0,0,1,3,3,1
ILOILO,"liquor (e.g, whisky, coconut wine)",TIGBAUAN,long-neck,450,0,0,1,3,3,1
ILOILO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",TUBUNGAN,putos,125,0,0,1,3,2,1
ILOILO,loaf bread,TUBUNGAN,small packs,100,0,0,1,3,2,1
ILOILO,rice,ZARRAGA,salmon,600,0,0,1,1,2,1
NEGROS OCCIDENTAL,chicken,BINALBAGAN,whole (chicken),300,0,0,1,3,2,1
NEGROS OCCIDENTAL,"liquor (e.g, whisky, coconut wine)",CALATRAVA,long-neck,150,0,0,1,2,2,1
NEGROS OCCIDENTAL,loaf bread,CALATRAVA,large packs,60,0,0,1,3,2,1
NEGROS OCCIDENTAL,fresh fish,CANDONI,pieces or units,200,0,0,1,2,2,1
NEGROS OCCIDENTAL,fresh fish,ENRIQUE B. MAGALONA (SARAVIA),pieces or units,600,0,0,1,3,2,1
NEGROS OCCIDENTAL,fresh fish,HINIGARAN,pieces or units,110,0,0,1,3,2,1
NEGROS OCCIDENTAL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",HINIGARAN,putos,70,0,0,1,3,3,1
NEGROS OCCIDENTAL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",HINIGARAN,putos,100,0,0,1,3,3,1
NEGROS OCCIDENTAL,"prawns, lobster, shrimp",HINIGARAN,tumpok,50,0,0,1,2,2,1
NEGROS OCCIDENTAL,"liquor (e.g, whisky, coconut wine)",HINOBA-AN (ASIA),long-neck,160,0,0,1,2,2,1
NEGROS OCCIDENTAL,camote tops,ILOG,bundle,70,0,0,1,2,2,1
NEGROS OCCIDENTAL,fresh fish,ISABELA,pieces or units,80,0,0,1,3,2,1
NEGROS OCCIDENTAL,mango,ISABELA,pieces or units,30,0,0,1,2,2,1
NEGROS OCCIDENTAL,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",LA CASTELLANA,putos,100,0,0,1,3,2,1
NEGROS OCCIDENTAL,"liquor (e.g, whisky, coconut wine)",LA CASTELLANA,long-neck,360,0,0,1,2,2,1
NEGROS OCCIDENTAL,chicken,MANAPLA,whole (chicken),400,0,0,1,2,2,1
NEGROS OCCIDENTAL,loaf bread,MANAPLA,large packs,120,0,0,1,3,2,1
NEGROS OCCIDENTAL,"liquor (e.g, whisky, coconut wine)",MOISES PADILLA (MAGALLON),long-neck,145,0,0,1,2,2,1
NEGROS OCCIDENTAL,cabbage,PONTEVEDRA,pieces or units,150,0,0,1,2,3,2
NEGROS OCCIDENTAL,chicken,PONTEVEDRA,bilog,400,0,0,1,2,3,2
NEGROS OCCIDENTAL,"liquor (e.g, whisky, coconut wine)",PONTEVEDRA,long-neck,150,0,0,1,2,2,1
NEGROS OCCIDENTAL,mango,PONTEVEDRA,pieces or units,100,0,0,1,2,2,1
NEGROS OCCIDENTAL,chicken,PULUPANDAN,bilog,200,0,0,1,2,2,1
NEGROS OCCIDENTAL,fresh fish,PULUPANDAN,pieces or units,340,0,0,1,2,2,1
NEGROS OCCIDENTAL,"prawns, lobster, shrimp",PULUPANDAN,tumpok,200,0,0,1,2,2,1
NEGROS OCCIDENTAL,fresh fish,SAN ENRIQUE,pieces or units,200,0,0,1,3,2,1
NEGROS OCCIDENTAL,"liquor (e.g, whisky, coconut wine)",SAN ENRIQUE,long-neck,260,0,0,1,2,2,1
NEGROS OCCIDENTAL,"preserved or processed meat (tocino, tapa, longaniza, etc)",TOBOSO,bilog,120,0,0,1,2,2,1
