pull_province,pull_item,pull_municipal_city,harmonized_nsu_unit,p_g,conv_rank,corrected_unit,d_reclassified,k_use,n_points,d_point_usable,unusable_why,w_g,n_g,n_disputed,n_uncertain,group_id,n_filled,n_empty,branch,w_use,v_use,hetero_code,share_uncertain,d_thin
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",IBAJAY,small cup,90,1,mL,0,1,1,1,,100,3,0,0,1,1,0,3,100,.9,,0,0
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,lipid/lapad,75,1,mL,0,1,1,1,,375,6,0,0,1,1,0,3,375,.2,,0,0
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,lipid/lapad,160,,mL,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,lipid/lapad,225,,mL,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,long-neck,130,1,mL,0,2,2,1,,750,6,0,0,1,2,0,3,750,.1733333333333333,,0,0
AKLAN,"liquor (e.g, whisky, coconut wine)",IBAJAY,long-neck,236,2,mL,0,2,2,1,,1000,1,0,0,2,2,0,3,1000,.236,,0,1
AKLAN,loaf bread,IBAJAY,large packs,60,1,g,0,1,1,1,,620,3,0,0,1,1,0,3,620,.0967741935483871,,0,0
AKLAN,loaf bread,IBAJAY,medium packs,50,1,g,0,1,1,1,,525,2,0,0,1,1,0,3,525,.0952380952380952,,0,1
AKLAN,loaf bread,IBAJAY,small packs,50,1,g,0,1,1,1,,372.5,2,0,0,1,1,0,3,372.5,.1342281879194631,,0,1
AKLAN,mango,IBAJAY,pieces or units,60,1,g,0,1,1,1,,225,15,0,0,1,1,0,3,225,.2666666666666667,,0,0
AKLAN,"prawns, lobster, shrimp",IBAJAY,tumpok,55,1,g,1,1,1,1,,455,3,1,1,1,1,0,3,455,.1208791208791209,,.3333333333333333,0
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",IBAJAY,pieces or units,45,1,g,0,2,2,1,,45,1,0,0,1,2,0,3,45,1,,0,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",IBAJAY,pieces or units,84,2,g,0,2,2,1,,70,1,0,0,2,2,0,3,70,1.2,,0,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",IBAJAY,putos,110,1,g,0,2,2,1,,387.5,8,0,0,1,2,0,3,387.5,.2838709677419355,,0,0
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",IBAJAY,putos,150,2,g,0,2,2,1,,1000,3,3,3,2,2,0,3,1000,.15,,1,0
AKLAN,cabbage,LIBACAO,pieces or units,80,1,g,0,1,1,1,,725,22,0,0,1,1,0,3,725,.1103448275862069,,0,0
AKLAN,camote tops,LIBACAO,bugkos,20,1,g,1,1,1,1,,170,3,0,0,1,1,0,3,170,.1176470588235294,,0,0
AKLAN,camote tops,LIBACAO,bundle,30,1,g,1,1,1,1,,665,3,1,1,1,1,0,3,665,.0451127819548872,,.3333333333333333,0
AKLAN,carrot,LIBACAO,pieces or units,30,1,g,0,1,1,1,,105,11,0,0,1,1,0,3,105,.2857142857142857,,0,0
AKLAN,chicken,LIBACAO,pieces or units,350,1,g,0,3,3,1,,360,1,0,0,1,2,1,3,360,.9722222222222222,,0,1
AKLAN,chicken,LIBACAO,pieces or units,400,2,g,0,3,3,1,,625,2,1,1,2,2,1,3,625,.64,,.5,1
AKLAN,chicken,LIBACAO,pieces or units,700,3,g,0,3,3,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,chicken,LIBACAO,whole (chicken),250,1,g,0,2,2,1,,1175,3,0,0,1,2,0,3,1175,.2127659574468085,,0,0
AKLAN,chicken,LIBACAO,whole (chicken),400,2,g,0,2,2,1,,1770,3,0,0,2,2,0,3,1770,.2259887005649718,,0,0
AKLAN,"crackers, cookies, buiscuits, chips/curls",LIBACAO,pieces or units,8,,g,0,,1,1,,30,9,0,0,1,,,2,30,.2666666666666667,municipality_median,0,0
AKLAN,"crackers, cookies, buiscuits, chips/curls",LIBACAO,putos,60,1,g,0,1,1,1,,300,9,0,0,1,1,0,3,300,.2,,0,0
AKLAN,fresh fish,LIBACAO,pieces or units,100,1,g,0,1,1,1,,562.5,6,1,1,1,1,0,3,562.5,.1777777777777778,,.1666666666666667,0
AKLAN,fresh fish,LIBACAO,pieces or units,135,,g,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
AKLAN,fresh fish,LIBACAO,pieces or units,280,,g,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",LIBACAO,putos,30,1,g,0,1,1,1,,51.5,4,0,0,1,1,0,3,51.5,.5825242718446602,,0,0
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",LIBACAO,putos,8,,g,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",LIBACAO,small cup,60,1,g,0,1,1,1,,350,3,2,2,1,1,0,3,350,.1714285714285714,,.6666666666666666,0
AKLAN,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",LIBACAO,small cup,100,,g,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
AKLAN,"liquor (e.g, whisky, coconut wine)",LIBACAO,lipid/lapad,75,1,mL,0,1,1,1,,375,5,0,0,1,1,0,3,375,.2,,0,0
AKLAN,"liquor (e.g, whisky, coconut wine)",LIBACAO,long-neck,138.75,1,mL,0,2,2,1,,750,7,0,0,1,1,1,3,750,.185,,0,0
AKLAN,"liquor (e.g, whisky, coconut wine)",LIBACAO,long-neck,447.5,2,mL,0,2,2,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,mango,LIBACAO,pieces or units,60,1,g,0,1,1,1,,220,11,0,0,1,1,0,3,220,.2727272727272727,,0,0
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",LIBACAO,pieces or units,12,,g,0,,1,1,,125,2,1,1,1,,,2,125,.096,province_median,.5,1
AKLAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",LIBACAO,putos,115,,g,0,,1,1,,307.5,6,1,1,1,,,2,307.5,.3739837398373984,municipality_median,.1666666666666667,0
AKLAN,cabbage,MADALAG,pieces or units,60,1,g,0,1,1,1,,657.5,18,0,0,1,1,0,3,657.5,.091254752851711,,0,0
AKLAN,cabbage,MADALAG,pieces or units,150,,g,0,1,1,0,"unique price, no weighing behind it",,,,,,,,3,,,,,
AKLAN,camote,MADALAG,binilog,15,1,g,0,1,1,1,,160,3,0,0,1,1,0,3,160,.09375,,0,0
AKLAN,camote tops,MADALAG,bugkos,20,1,g,1,1,1,1,,150,4,0,0,1,1,0,3,150,.1333333333333333,,0,0
AKLAN,carrot,MADALAG,pieces or units,30,1,g,0,1,1,1,,162.5,12,0,0,1,1,0,3,162.5,.1846153846153846,,0,0
AKLAN,chicken,MADALAG,pieces or units,437.5,1,g,0,3,3,1,,500,1,0,0,1,2,1,3,500,.875,,0,1
AKLAN,chicken,MADALAG,pieces or units,550,2,g,0,3,3,1,,680,1,1,1,2,2,1,3,680,.8088235294117647,,1,1
AKLAN,chicken,MADALAG,pieces or units,650,3,g,0,3,3,0,this part of the cut came back empty,,,,,,,,3,,,,,
AKLAN,chicken,MADALAG,whole (chicken),226.25,1,g,0,2,2,1,,947.5,2,0,0,1,2,0,3,947.5,.2387862796833773,,0,1
AKLAN,chicken,MADALAG,whole (chicken),272.5,2,g,0,2,2,1,,1660,2,0,0,2,2,0,3,1660,.1641566265060241,,0,1
