pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,corrected_unit,cf_blind,fallback_level,n_g_used,d_thin,d_unconvertible
ANTIQUE,BELISON,chicken,whole (chicken),g,1077.5,cell pooled across sizes,6,0,0
ANTIQUE,BELISON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,mL,105,cell pooled across sizes,4,0,0
ANTIQUE,BELISON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,g,67.5,cell pooled across sizes,4,0,0
ANTIQUE,BELISON,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",small cup,mL,100,cell pooled across sizes,4,0,0
ANTIQUE,BELISON,"liquor (e.g, whisky, coconut wine)",gin,mL,350,cell pooled across sizes,3,0,0
ANTIQUE,BELISON,"liquor (e.g, whisky, coconut wine)",lipid/lapad,mL,375,cell pooled across sizes,7,0,0
ANTIQUE,BELISON,"liquor (e.g, whisky, coconut wine)",long-neck,mL,750,cell pooled across sizes,8,0,0
ANTIQUE,BELISON,loaf bread,large packs,g,640,cell pooled across sizes,4,0,0
ANTIQUE,BELISON,loaf bread,medium packs,g,450,cell pooled across sizes,5,0,0
ANTIQUE,BELISON,mango,pieces or units,g,260,cell pooled across sizes,11,0,0
