statistic,grouping,level,value
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | MURCIA,9.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | PONTEVEDRA,11.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | PULUPANDAN,12.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | SALVADOR BENEDICTO,8.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | SAN ENRIQUE,11.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | TOBOSO,8.0
n_items_by_municipality,prov_mun,NEGROS OCCIDENTAL | VALLADOLID,11.0
n_cases_by_market_slots_filled,n_market_types_present,1,814.0
n_cases_by_market_slots_filled,n_market_types_present,2,713.0
n_cases_by_market_slots_filled,n_market_types_present,3,474.0
max_vendors_observed_in_one_cell,overall,all,5.0
n_vendors_per_cell_by_market_type,market_type | n_vendor_bucket,Public Market | 1,779.0
n_vendors_per_cell_by_market_type,market_type | n_vendor_bucket,Public Market | 2,634.0
n_vendors_per_cell_by_market_type,market_type | n_vendor_bucket,Public Market | 3+,1427.0
n_vendors_per_cell_by_market_type,market_type | n_vendor_bucket,Roadside Vendors | 1,889.0
n_vendors_per_cell_by_market_type,market_type | n_vendor_bucket,Roadside Vendors | 2,526.0
n_vendors_per_cell_by_market_type,market_type | n_vendor_bucket,Roadside Vendors | 3+,422.0
n_vendors_per_cell_by_market_type,market_type | n_vendor_bucket,Talipapa | 1,592.0
n_vendors_per_cell_by_market_type,market_type | n_vendor_bucket,Talipapa | 2,278.0
n_vendors_per_cell_by_market_type,market_type | n_vendor_bucket,Talipapa | 3+,253.0
avg_vendors_per_cell,overall,all,1.981896551724138
n_cases_with_ge1_obs_by_weighing_approach,weighing_approach,"Conventional NSU (eg. ganta, salmon, salop)",124.0
n_cases_with_ge1_obs_by_weighing_approach,weighing_approach,"Price-quantity based (lower, median, higher price)",319.0
n_cases_with_ge1_obs_by_weighing_approach,weighing_approach,"Size-based (small, medium, large)",1558.0
n_cases_multi_weighing_approach,overall,all,0.0
