id,pull_province,pull_municipal_city,pull_item,harmonized_nsu_unit,weight,unit,w1,w3,ratio,review_step1,cell_med,cell_n
8803.0,ILOILO,POTOTAN,fresh fish,pieces or units,1.775,1,177.0,1775.0,10.028248587570621,0,375.0,590.0
6110.0,ILOILO,CABATUAN,camote tops,bundle,1.885,1,188.0,1885.0,10.02659574468085,0,290.0,72.0
10112.0,ILOILO,TUBUNGAN,fresh fish,pieces or units,2.675,1,267.0,2675.0,10.0187265917603,0,375.0,590.0
2388.0,ANTIQUE,LAUA-AN,fresh fish,pieces or units,2.885,1,288.0,2885.0,10.01736111111111,0,375.0,590.0
9780.0,ILOILO,SARA,fresh fish,pack,0.34,2,34.0,340.0,10.0,1,,
9799.0,ILOILO,SARA,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",pieces or units,0.6,3,60.0,600.0,10.0,0,85.0,232.0
9895.0,ILOILO,TIGBAUAN,camote,small packs,1.0,1,100.0,1000.0,10.0,0,175.0,6.0
9927.0,ILOILO,TIGBAUAN,chicken,pieces or units,810.0,2,81.0,810.0,10.0,1,315.0,91.0
960.0,AKLAN,MALAY,camote tops,bugkos,650.0,2,65.0,650.0,10.0,1,195.0,408.0
967.0,AKLAN,MALAY,camote,binilog,330.0,2,33.0,330.0,10.0,1,125.0,52.0
980.0,AKLAN,MALAY,camote,binilog,350.0,2,35.0,350.0,10.0,1,125.0,52.0
983.0,AKLAN,MALAY,camote,binilog,610.0,2,61.0,610.0,10.0,0,125.0,52.0
1000.0,AKLAN,MALAY,carrot,pieces or units,350.0,2,35.0,350.0,10.0,1,135.0,1139.0
10993.0,NEGROS OCCIDENTAL,MOISES PADILLA (MAGALLON),camote tops,bugkos,1280.0,2,128.0,1280.0,10.0,0,195.0,408.0
558.0,AKLAN,IBAJAY,"prawns, lobster, shrimp",tumpok,1040.0,2,104.0,1040.0,10.0,0,257.5,140.0
562.0,AKLAN,IBAJAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.15,1,115.0,1150.0,10.0,0,250.0,432.0
565.0,AKLAN,IBAJAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.0,1,100.0,1000.0,10.0,1,250.0,432.0
568.0,AKLAN,IBAJAY,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.0,1,100.0,1000.0,10.0,1,250.0,432.0
1555.0,AKLAN,TANGALAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.14,1,114.0,1140.0,10.0,0,250.0,432.0
1556.0,AKLAN,TANGALAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.1,1,110.0,1100.0,10.0,1,250.0,432.0
1559.0,AKLAN,TANGALAN,"preserved or processed meat (tocino, tapa, longaniza, etc)",putos,1.0,1,100.0,1000.0,10.0,1,250.0,432.0
1166.0,AKLAN,MALINAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.6,3,60.0,600.0,10.0,0,60.0,173.0
1167.0,AKLAN,MALINAO,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.6,3,60.0,600.0,10.0,0,60.0,173.0
1231.0,AKLAN,NABAS,camote tops,bugkos,580.0,2,58.0,580.0,10.0,1,195.0,408.0
1278.0,AKLAN,NABAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.6,3,60.0,600.0,10.0,0,60.0,173.0
1279.0,AKLAN,NABAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.6,3,60.0,600.0,10.0,0,60.0,173.0
1280.0,AKLAN,NABAS,"ice cream, sorbet, edible ice (eg., ice-lolli, halo-halo)",putos,0.7,3,70.0,700.0,10.0,0,60.0,173.0
